,participant_id,age,how_masculine,how_important
0,1,35 - 64,Somewhat ,Somewhat 
1,2,65 and up,Somewhat ,Somewhat 
2,3,35 - 64,Very ,Not very 
3,4,65 and up,Very ,Not very 
4,5,35 - 64,Very ,Very 
5,6,65 and up,Very ,Somewhat 
6,7,18 - 34,Somewhat ,Not very 
7,8,65 and up,Somewhat ,Somewhat 
8,9,35 - 64,Very ,Not at all 
9,10,35 - 64,Somewhat ,Somewhat 
10,11,35 - 64,Very ,Somewhat 
11,12,35 - 64,Somewhat ,Not very 
12,13,35 - 64,Very ,Somewhat 
13,14,18 - 34,Very ,Very 
14,15,18 - 34,Not at all ,Not at all 
15,16,65 and up,Somewhat ,Somewhat 
16,17,35 - 64,Somewhat ,Not very 
17,18,35 - 64,Somewhat ,Not very 
18,19,65 and up,Very ,Somewhat 
19,20,35 - 64,Somewhat ,Somewhat 
20,21,65 and up,Not very ,Somewhat 
21,22,35 - 64,Somewhat ,Somewhat 
22,23,35 - 64,Somewhat ,Not very 
23,24,35 - 64,Very ,Somewhat 
24,25,65 and up,Very ,Not very 
25,26,65 and up,Somewhat ,Not very 
26,27,65 and up,Not very ,Somewhat 
27,28,65 and up,Not at all ,Not at all 
28,29,65 and up,Very ,Somewhat 
29,30,65 and up,Not very ,Somewhat 
30,31,35 - 64,Somewhat ,Somewhat 
31,32,18 - 34,Somewhat ,Somewhat 
32,33,35 - 64,Not very ,Not very 
33,34,65 and up,Somewhat ,Somewhat 
34,35,35 - 64,Very ,Somewhat 
35,36,35 - 64,Somewhat ,Somewhat 
36,37,35 - 64,Somewhat ,Not very 
37,38,65 and up,Very ,Not very 
38,39,35 - 64,Not very ,Not very 
39,40,65 and up,Somewhat ,Not very 
40,41,35 - 64,Not very ,Not very 
41,42,65 and up,Somewhat ,Not very 
42,43,35 - 64,Very ,Somewhat 
43,44,65 and up,Very ,Very 
44,45,65 and up,Somewhat ,Not at all 
45,46,65 and up,Not very ,Not very 
46,47,18 - 34,Not very ,Not very 
47,48,65 and up,Very ,Somewhat 
48,49,35 - 64,Somewhat ,Somewhat 
49,50,18 - 34,Not very ,Somewhat 
50,51,65 and up,Somewhat ,Not very 
51,52,35 - 64,Very ,Somewhat 
52,53,65 and up,Somewhat ,Not at all 
53,54,35 - 64,Somewhat ,Not very 
54,55,35 - 64,Somewhat ,Not very 
55,56,35 - 64,Somewhat ,Not very 
56,57,65 and up,Very ,Not very 
57,58,65 and up,Very ,Not very 
58,59,65 and up,Somewhat ,Somewhat 
59,60,35 - 64,Very ,Very 
60,61,65 and up,Very ,Very 
61,62,65 and up,Very ,Not at all 
62,63,18 - 34,Not very ,Somewhat 
63,64,35 - 64,Not very ,Somewhat 
64,65,65 and up,Very ,Somewhat 
65,66,35 - 64,Somewhat ,Not very 
66,67,35 - 64,Very ,Very 
67,68,65 and up,Somewhat ,Not very 
68,69,35 - 64,Very ,Not at all 
69,70,65 and up,Somewhat ,Not very 
70,71,35 - 64,Somewhat ,Somewhat 
71,72,65 and up,Very ,Somewhat 
72,73,65 and up,Somewhat ,Somewhat 
73,74,35 - 64,Somewhat ,Not very 
74,75,65 and up,Somewhat ,Somewhat 
75,76,65 and up,Somewhat ,Not very 
76,77,35 - 64,Not very ,Not at all 
77,78,35 - 64,Very ,Somewhat 
78,79,65 and up,Very ,Not at all 
79,80,35 - 64,Somewhat ,Somewhat 
80,81,35 - 64,Somewhat ,Somewhat 
81,82,65 and up,Very ,Somewhat 
82,83,35 - 64,Somewhat ,Very 
83,84,65 and up,Very ,Not very 
84,85,35 - 64,Very ,Very 
85,86,35 - 64,Very ,Very 
86,87,65 and up,Very ,Not very 
87,88,65 and up,Somewhat ,Somewhat 
88,89,65 and up,Very ,Somewhat 
89,90,35 - 64,Not very ,Somewhat 
90,91,18 - 34,Somewhat ,Not very 
91,92,65 and up,Somewhat ,Somewhat 
92,93,35 - 64,Somewhat ,Not very 
93,94,35 - 64,Somewhat ,Not very 
94,95,65 and up,Very ,Somewhat 
95,96,65 and up,Somewhat ,Not very 
96,97,35 - 64,Not very ,Not at all 
97,98,18 - 34,Somewhat ,Somewhat 
98,99,65 and up,Very ,Not at all 
99,100,65 and up,Somewhat ,Not very 
100,101,35 - 64,Somewhat ,Somewhat 
101,102,65 and up,Somewhat ,Not at all 
102,103,65 and up,Very ,Very 
103,104,35 - 64,Somewhat ,Not very 
104,105,65 and up,Very ,Somewhat 
105,106,18 - 34,Somewhat ,Not at all 
106,107,65 and up,Not very ,Not very 
107,108,65 and up,Very ,Not very 
108,109,65 and up,Somewhat ,Not very 
109,110,35 - 64,Somewhat ,Very 
110,111,65 and up,Very ,Very 
111,112,35 - 64,Somewhat ,Not very 
112,113,35 - 64,Somewhat ,Somewhat 
113,114,35 - 64,Somewhat ,Somewhat 
114,115,18 - 34,Very ,Not at all 
115,116,65 and up,Very ,Very 
116,117,18 - 34,Very ,Somewhat 
117,118,18 - 34,Not at all ,Not very 
118,119,35 - 64,Somewhat ,Somewhat 
119,120,18 - 34,Somewhat ,Not very 
120,121,65 and up,Very ,Somewhat 
121,122,65 and up,Very ,Not very 
122,123,35 - 64,Somewhat ,Somewhat 
123,124,65 and up,Somewhat ,Not very 
124,125,35 - 64,Somewhat ,Not at all 
125,126,35 - 64,Very ,Somewhat 
126,127,35 - 64,Somewhat ,Very 
127,128,35 - 64,Not very ,Somewhat 
128,129,65 and up,Very ,Not very 
129,130,35 - 64,Very ,Somewhat 
130,131,35 - 64,Somewhat ,Somewhat 
131,132,65 and up,Somewhat ,Not very 
132,133,35 - 64,Not very ,Not at all 
133,134,65 and up,Somewhat ,Not very 
